,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,Kết quả
0,3,3,0,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
1,4,2,7,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
2,3,2,7,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
3,3,3,7,1,4,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,6,1
4,3,2,7,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,6,1
5,3,2,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
6,3,2,7,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
7,3,3,0,1,8,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
8,2,2,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
9,2,0,8,1,6,1,1,0,7,0,0,2,3,7,7,0,2,2,4,7,2,0,0
10,2,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
11,2,3,7,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
12,3,2,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
13,2,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
14,2,3,0,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
15,2,3,0,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
16,2,3,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
17,2,0,3,1,6,1,1,0,7,0,0,3,2,7,7,0,2,2,4,7,2,0,0
18,3,2,7,1,4,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
19,3,2,7,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
20,2,2,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
21,2,3,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
22,4,3,7,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
23,4,2,7,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
24,3,2,7,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
25,2,3,0,1,4,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
26,3,3,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
27,2,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
28,3,2,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,6,1
29,2,3,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
30,4,0,8,1,6,1,1,0,7,0,0,3,2,7,7,0,2,2,4,7,2,0,0
31,4,2,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
32,3,3,7,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
33,2,2,7,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
34,2,3,0,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
35,2,3,0,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,6,1
36,3,2,7,1,3,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
37,3,2,0,1,8,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,1,1
38,2,2,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
39,3,3,7,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
40,2,3,7,1,8,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
41,2,3,0,1,8,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
42,3,2,0,1,4,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,1,1
43,3,2,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
44,3,2,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
45,3,2,0,1,4,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
46,3,3,0,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
47,3,2,7,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
48,3,2,7,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
49,2,2,7,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,3,1
50,4,3,7,1,4,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
51,3,2,7,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
52,3,2,0,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
53,3,3,0,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
54,3,3,7,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
55,4,3,7,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,3,1
56,3,2,7,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
57,3,3,0,1,8,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
58,2,3,0,1,6,0,0,0,1,0,0,3,3,4,4,0,1,1,4,2,4,1,0
59,2,3,0,1,3,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
60,4,3,0,1,3,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
61,3,3,0,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
62,3,3,0,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
63,2,3,0,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
64,3,3,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,6,1
65,3,2,7,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
66,3,2,7,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,6,1
67,3,3,0,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
68,2,3,7,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
69,2,3,0,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
70,2,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
71,2,3,7,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
72,3,2,7,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,1,1
73,2,3,7,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
74,4,3,7,1,3,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,1,1
75,2,2,7,1,4,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
76,3,3,0,1,4,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
77,3,3,0,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,1,1
78,2,3,0,1,4,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,6,1
79,4,2,7,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
80,2,3,7,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
81,3,2,0,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,6,1
82,3,2,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
83,3,2,0,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
84,3,3,0,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,1,1
85,3,3,7,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
86,4,2,0,1,3,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,3,1
87,3,2,7,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,1,1
88,3,3,7,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
89,3,3,0,1,4,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
90,2,3,0,1,3,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,1,1
91,3,2,0,1,8,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
92,3,2,7,1,8,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,6,1
93,2,2,7,1,8,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
94,3,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
95,2,3,0,1,8,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,1,1
96,3,3,0,1,3,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,3,1
97,3,3,0,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,1,1
98,3,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
99,2,3,3,1,6,1,1,0,7,0,0,3,2,7,7,0,2,2,4,7,2,0,0
100,4,2,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
101,2,2,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
102,2,3,0,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
103,2,3,0,1,8,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,6,1
104,3,2,7,1,8,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
105,4,2,0,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
106,2,3,7,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
107,2,3,0,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
108,4,2,0,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
109,2,2,7,1,4,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
110,4,3,0,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
111,2,3,0,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
112,2,2,7,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
113,3,3,7,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
114,3,3,0,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
115,3,3,0,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
116,3,3,7,1,3,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
117,2,2,7,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
118,2,3,7,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,1,1
119,3,3,0,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
120,3,2,7,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
121,2,3,0,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
122,2,3,7,1,8,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,6,1
123,2,3,7,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
124,3,3,7,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
125,2,2,7,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
126,2,3,0,1,3,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
127,2,3,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
128,2,3,7,1,3,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
129,2,3,0,1,3,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
130,2,3,0,1,8,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,1,1
131,3,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
132,3,2,7,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
133,2,3,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
134,2,3,7,1,4,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,1,1
135,3,3,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
136,2,3,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
137,3,3,7,1,3,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
138,4,2,0,1,3,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,3,1
139,2,3,0,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,1,1
140,3,2,0,1,3,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,3,1
141,4,2,0,1,3,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,3,1
142,3,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
143,3,3,0,1,4,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
144,2,3,7,1,3,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
145,2,3,0,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
146,3,2,0,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
147,3,2,0,1,8,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,3,1
148,2,3,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
149,3,2,0,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
150,2,2,7,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
151,3,2,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
152,3,2,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
153,2,2,7,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,1,1
154,3,3,7,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
155,4,3,0,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
156,2,2,7,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
157,2,3,0,1,4,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,1,1
158,3,3,7,1,8,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
159,3,3,7,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
160,0,0,3,1,6,1,1,0,7,0,0,3,2,7,7,0,2,2,4,7,3,0,0
161,2,3,0,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
162,4,3,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,3,1
163,0,3,0,1,6,0,0,0,6,0,0,3,3,4,4,0,0,1,4,8,4,1,0
164,3,3,0,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
165,3,2,0,1,8,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,6,1
166,2,2,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
167,2,3,7,1,8,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
168,4,2,2,1,5,0,0,0,10,0,2,2,1,2,2,0,2,0,3,7,1,6,1
169,2,3,7,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
170,3,3,0,1,8,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,3,1
171,2,3,0,1,3,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,1,1
172,2,2,7,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
173,2,3,7,1,4,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,6,1
174,3,3,7,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
175,3,3,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
176,3,3,0,1,8,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,6,1
177,3,2,7,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
178,2,3,7,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,1,1
179,3,2,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
180,3,2,0,1,3,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,1,1
181,2,2,7,1,4,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
182,3,2,7,1,8,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,3,1
183,3,3,7,1,4,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
184,3,3,7,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,3,1
185,2,3,7,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,3,1
186,2,3,7,1,4,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
187,4,2,7,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
188,2,2,7,1,4,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
189,2,3,7,1,3,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,6,1
190,2,3,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,6,1
191,2,3,0,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
192,3,3,0,1,3,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,6,1
193,3,2,0,1,8,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,3,1
194,2,3,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
195,4,3,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,3,1
196,3,3,0,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
197,3,2,0,1,4,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,6,1
198,3,2,7,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
199,3,2,7,1,8,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,1,1
200,3,2,0,1,4,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
201,2,3,7,1,3,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
202,3,2,0,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
203,3,3,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
204,3,3,7,1,4,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
205,2,3,0,1,3,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
206,3,2,7,1,4,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,6,1
207,4,2,0,1,3,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,1,1
208,3,3,0,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,3,1
209,3,2,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,3,1
210,3,3,7,1,3,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,1,1
211,2,3,0,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,1,1
212,3,3,7,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,3,1
213,2,3,7,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
214,3,2,7,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,6,1
215,2,3,7,1,3,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,3,1
216,3,3,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,3,1
217,3,3,0,1,4,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,3,1
218,2,3,0,1,3,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,3,1
219,2,3,7,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
220,3,3,7,1,8,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,6,1
221,2,3,7,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,1,1
222,2,3,0,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
223,3,3,7,1,4,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
224,2,2,7,1,8,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,1,1
225,2,3,0,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,3,1
226,2,2,7,1,8,1,0,1,2,1,0,3,3,7,5,0,2,1,0,7,4,3,1
227,3,3,7,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
228,2,3,7,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,6,1
229,3,2,0,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
230,2,3,7,1,4,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
231,2,3,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,1,1
232,3,3,7,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
233,2,3,7,1,8,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,6,1
234,3,3,0,1,3,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,1,1
235,2,2,7,1,8,1,0,1,2,1,0,2,2,7,5,0,2,1,0,7,4,3,1
236,3,2,7,1,3,1,0,1,2,1,0,2,2,5,5,0,2,1,0,7,4,6,1
237,2,2,7,1,8,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,3,1
238,4,2,0,1,3,1,0,1,2,1,0,2,2,7,7,0,2,1,0,7,4,1,1
239,3,2,0,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
240,2,2,7,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
241,3,3,0,1,3,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,3,1
242,2,3,7,1,8,1,0,1,2,1,0,2,2,5,7,0,2,1,0,7,4,6,1
243,3,3,7,1,3,1,0,1,2,1,0,2,3,5,5,0,2,1,0,7,4,6,1
244,2,0,3,1,6,1,1,0,4,0,0,2,2,7,7,0,2,2,4,7,3,0,0
245,2,3,7,1,3,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,3,1
246,3,3,0,1,4,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,1,1
247,3,3,0,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,3,1
248,2,3,7,1,4,1,0,1,2,1,0,3,2,7,7,0,2,1,0,7,4,1,1
249,2,3,7,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
250,2,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
251,3,2,7,1,3,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,6,1
252,0,0,3,1,6,1,1,0,10,0,0,3,3,7,7,0,2,2,4,7,3,0,0
253,3,2,0,1,8,1,0,1,2,1,0,2,3,7,5,0,2,1,0,7,4,6,1
254,3,2,7,1,4,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,6,1
255,3,2,0,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
256,3,3,0,1,4,1,0,1,2,1,0,3,2,5,7,0,2,1,0,7,4,1,1
257,3,2,0,1,4,1,0,1,2,1,0,3,2,7,5,0,2,1,0,7,4,6,1
258,2,2,7,1,8,1,0,1,2,1,0,2,3,5,7,0,2,1,0,7,4,6,1
259,3,2,0,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
260,2,3,0,1,3,1,0,1,2,1,0,3,2,5,5,0,2,1,0,7,4,6,1
261,3,2,7,1,4,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,6,1
262,4,0,3,1,6,1,1,0,7,0,0,2,3,7,7,0,2,2,4,7,3,0,0
263,0,3,0,1,6,0,0,0,11,0,0,3,3,4,4,0,0,1,4,5,1,1,0
264,3,3,0,1,8,1,0,1,2,1,0,3,3,7,7,0,2,1,0,7,4,1,1
265,2,3,0,1,8,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,3,1
266,3,2,0,1,8,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,1,1
267,3,3,7,1,8,1,0,1,2,1,0,2,3,7,7,0,2,1,0,7,4,1,1
268,3,2,0,1,3,1,0,1,2,1,0,3,3,5,7,0,2,1,0,7,4,1,1
269,3,3,0,1,4,1,0,1,2,1,0,3,3,5,5,0,2,1,0,7,4,6,1
